type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN04
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,NO2,44.0,200.0,0,µg/m³,22.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN04
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,PM10,13.0,50.0,3,µg/m³,26.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN04
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,C6H6,0.2,5.0,0,µg/m³,4.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Molfetta - Verdi
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,NO2,46.0,200.0,0,µg/m³,23.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Molfetta - Verdi
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,PM10,17.0,50.0,4,µg/m³,34.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Molfetta - Verdi
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,C6H6,0.1,5.0,0,µg/m³,2.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,CO,0.2,10.0,0,mg/m³,2.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,IPA,5.0,,0,ng/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM10,11.0,50.0,5,µg/m³,22.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM2.5,7.0,25.0,4,µg/m³,28.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Aldo Moro
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,C6H6,0.1,5.0,0,µg/m³,2.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,IPA,2.0,,0,ng/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
