type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,PM2.5,,25.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Casardi
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Casardi
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,O3,,180.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Casardi
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Casardi
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,PM2.5,,25.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Casardi
Feature,Point,"[16.293055, 41.318333]",109,Barletta - Mezzo Mobile Via Trani,RRQA,PRIVATO,Industriale,Suburbana,Barletta,BAT,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Mezzo Mobile Via Trani
Feature,Point,"[16.293055, 41.318333]",109,Barletta - Mezzo Mobile Via Trani,RRQA,PRIVATO,Industriale,Suburbana,Barletta,BAT,IT,Italy,H2S,,,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Mezzo Mobile Via Trani
Feature,Point,"[16.293055, 41.318333]",109,Barletta - Mezzo Mobile Via Trani,RRQA,PRIVATO,Industriale,Suburbana,Barletta,BAT,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Barletta - Mezzo Mobile Via Trani
